last_name, first_name,player_id,year,p_formatted_ip,p_era,p_opp_batting_avg,
Wilson, Steven,621051,2022,45.1,2.98,.188,
Rucker, Michael,621074,2022,45.1,4.37,.243,
Kaprielian, James,621076,2022,109.0,4.79,.247,
Lemoine, Jake,621082,2022,16.1,7.71,.273,
Eflin, Zach,621107,2022,68.0,4.37,.251,
Buehler, Walker,621111,2022,65.0,4.02,.263,
Blackburn, Paul,621112,2022,111.1,4.28,.255,
Burr, Ryan,621114,2022,9.0,6.00,.229,
McCullers Jr., Lance,621121,2022,28.2,2.20,.221,
Mills, Alec,621219,2022,17.2,9.68,.364,
Alvarado, Jose,621237,2022,43.1,3.74,.222,
Diaz, Edwin,621242,2022,54.0,1.50,.166,
Berrios, Jose,621244,2022,152.2,5.07,.283,
Garza Jr., Ralph,621248,2022,35.0,3.34,.284,
Underwood Jr., Duane,621249,2022,48.0,4.50,.266,
Wittgren, Nick,621295,2022,29.0,5.90,.299,
Minter, A.J.,621345,2022,59.0,2.14,.201,
Clay, Sam,621348,2022,5.1,8.44,.200,
Poche, Colin,621363,2022,51.1,2.63,.189,
Borucki, Ryan,621366,2022,25.1,5.68,.247,
Hearn, Taylor,621368,2022,89.1,4.94,.265,
Strahm, Matt,621381,2022,37.2,3.11,.217,
Banks, Tanner,621383,2022,47.0,3.26,.226,
Blach, Ty,621389,2022,40.0,6.30,.297,
Phillips, Brett,621433,2022,4.0,18.00,.450,
Castro, Anthony,621593,2022,13.1,7.43,.345,
Young, Alex,622065,2022,15.2,2.87,.290,
Wood, Alex,622072,2022,130.2,5.10,.262,
Almonte, Yency,622075,2022,31.1,1.15,.167,
Smith, Drew,622098,2022,41.0,3.51,.217,
Reyes Jr., Gerardo,622103,2022,2.0,4.50,.333,
Sborz, Josh,622250,2022,22.1,6.45,.284,
Staumont, Josh,622251,2022,37.2,6.45,.261,
Tate, Dillon,622253,2022,64.2,2.64,.227,
Castillo, Luis,622379,2022,3.2,0.00,.143,
Castillo, Luis,622491,2022,128.1,2.81,.209,
Crismatt, Nabil,622503,2022,63.1,2.98,.227,
Dominguez, Seranthony,622554,2022,45.0,1.60,.167,
Senzatela, Antonio,622608,2022,92.1,5.07,.349,
Severino, Luis,622663,2022,86.0,3.45,.211,
Hernandez, Elieser,622694,2022,58.1,6.33,.269,
Tinoco, Jesus,622786,2022,11.2,2.31,.171,
Sewald, Paul,623149,2022,57.1,2.67,.138,
Flexen, Chris,623167,2022,127.0,3.83,.254,
Brazoban, Huascar,623211,2022,23.2,3.42,.227,
Hader, Josh,623352,2022,42.2,6.12,.238,
Stephens, Jackson,623451,2022,45.0,3.80,.240,
Phillips, Evan,623465,2022,54.1,1.33,.148,
Herget, Jimmy,623474,2022,59.0,2.44,.190,
Goudeau, Ashton,623485,2022,20.1,7.08,.305,
Suarez, Ranger,624133,2022,134.1,3.62,.249,
Castellani, Ryan,624418,2022,2.2,0.00,.182,
Gordon, Nick,624503,2022,3.2,22.09,.476,
Thompson, Keegan,624522,2022,104.1,3.97,.253,
Lopez, Reynaldo,625643,2022,55.1,3.09,.225,
Iglesias, Raisel,628452,2022,51.1,2.98,.199,
Marte, Yunior,628708,2022,38.2,6.28,.278,
Urias, Julio,628711,2022,152.2,2.30,.197,
Chirinos, Yonny,630023,2022,3.0,0.00,.308,
Crowe, Wil,640444,2022,71.2,3.64,.220,
Finnegan, Kyle,640448,2022,56.2,3.97,.231,
Harvey, Hunter,640451,2022,29.0,2.79,.223,
Manaea, Sean,640455,2022,139.1,5.23,.262,
Puk, A.J.,640462,2022,56.1,3.20,.216,
Lopez, Pablo,641154,2022,153.2,4.04,.243,
Alexander, Tyler,641302,2022,77.1,5.35,.293,
Baker, Bryan,641329,2022,59.0,4.12,.247,
Bickford, Phil,641360,2022,54.2,4.61,.241,
Brentz, Jake,641394,2022,5.1,23.63,.423,
Brogdon, Connor,641401,2022,35.1,3.06,.257,
Castano, Daniel,641447,2022,35.2,4.04,.292,
Cortes Jr., Nestor,641482,2022,135.0,2.73,.198,
Danish, Tyler,641501,2022,33.1,4.05,.230,
Dunning, Dane,641540,2022,143.2,4.39,.269,
Foster, Matt,641582,2022,45.0,4.40,.247,
Gott, Trevor,641627,2022,38.0,4.03,.199,
Hamilton, Ian,641656,2022,2.2,6.75,.300,
Hatch, Thomas,641672,2022,4.2,19.29,.522,
Hendrix, Ryan,641682,2022,8.1,5.40,.300,
Hudson, Dakota,641712,2022,126.0,4.43,.267,
Jefferies, Daulton,641726,2022,39.1,5.72,.286,
Jimenez, Joe,641729,2022,54.0,3.00,.212,
Kay, Anthony,641743,2022,2.0,4.50,.286,
Keller, Brad,641745,2022,132.1,5.24,.278,
Kinley, Tyler,641755,2022,24.0,0.75,.226,
Kuhl, Chad,641771,2022,117.0,5.38,.275,
Lauer, Eric,641778,2022,145.0,3.91,.237,
Littell, Zack,641793,2022,44.1,5.08,.276,
Mahle, Tyler,641816,2022,120.2,4.40,.230,
Mayza, Tim,641835,2022,41.0,2.85,.243,
McKay, David,641853,2022,6.2,6.75,.296,
Middleton, Keynan,641871,2022,15.0,4.80,.236,
Murphy, Patrick,641907,2022,5.2,6.35,.320,
Neuse, Sheldon,641914,2022,3.2,0.00,.083,
Ober, Bailey,641927,2022,33.2,4.01,.273,
Pagan, Emilio,641941,2022,55.2,4.85,.259,
Rogers, Josh,642028,2022,26.1,5.13,.238,
Saucedo, Tayler,642048,2022,2.2,13.50,.429,
Sedlock, Cody,642060,2022,3.0,15.00,.400,
Speier, Gabe,642100,2022,19.1,2.33,.225,
Sulser, Cole,642121,2022,31.2,5.12,.293,
Taylor, Blake,642130,2022,16.0,3.94,.234,
Trivino, Lou,642152,2022,46.2,4.82,.299,
VanMeter, Josh,642165,2022,3.0,39.00,.600,
Widener, Taylor,642203,2022,5.2,7.94,.370,
Williams, Devin,642207,2022,54.1,1.82,.152,
Yacabonis, Jimmy,642231,2022,13.0,7.62,.321,
Yarbrough, Ryan,642232,2022,76.0,4.38,.270,
Soto, Gregory,642397,2022,51.0,3.53,.228,
Loaisiga, Jonathan,642528,2022,37.2,4.54,.227,
Barria, Jaime,642545,2022,72.2,2.60,.206,
Hernandez, Jonathan,642546,2022,21.2,2.91,.256,
Peralta, Freddy,642547,2022,70.1,3.45,.184,
Bautista, Felix,642585,2022,61.0,1.62,.159,
Santana, Dennis,642701,2022,50.1,5.01,.223,
Acevedo, Domingo,642758,2022,61.1,3.52,.203,
Guerra, Javy,642770,2022,9.1,9.64,.326,
Wynns, Austin,642851,2022,2.0,13.50,.333,
Brault, Steven,643230,2022,9.0,3.00,.242,
Cimber, Adam,643256,2022,59.2,3.17,.248,
Dunn, Justin,643290,2022,31.0,6.10,.276,
Fry, Paul,643316,2022,13.0,6.23,.229,
Green, Chad,643338,2022,15.0,3.00,.241,
Jax, Griffin,643377,2022,64.2,3.34,.209,
Knight, Dusten,643400,2022,8.0,4.50,.250,
Leiter Jr., Mark,643410,2022,59.0,4.27,.219,
Pruitt, Austin,643493,2022,46.2,4.24,.223,
Rogers, Tyler,643511,2022,64.1,4.20,.257,
Schwindel, Frank,643524,2022,3.0,18.00,.471,
Zeuch, T.J.,643615,2022,10.2,15.19,.453,
Arano, Victor,644364,2022,42.0,4.50,.278,
Chang, Yu,644374,2022,2.0,13.50,.600,
Severino, Anderson,644429,2022,7.1,6.14,.250,
Alcantara, Sandy,645261,2022,196.2,2.43,.213,
Diaz, Jhonathan,646242,2022,15.1,2.93,.236,
Pop, Zach,647315,2022,29.2,3.64,.294,
Wells, Alex,649144,2022,3.2,4.91,.313,
Ruiz, Norge,650204,2022,11.1,7.94,.385,
