last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Walker, Christian,572233,2022,563,388,0.237,0.258,-0.02100000000000002,0.479,0.503,-0.02400000000000002,0.349,0.37,-0.02100000000000002
Verdugo, Alex,657077,2022,563,454,0.287,0.282,0.0050000000000000044,0.41,0.437,-0.027000000000000024,0.324,0.333,-0.009000000000000008
Edman, Tommy,669242,2022,561,420,0.267,0.261,0.006000000000000005,0.412,0.39,0.021999999999999964,0.322,0.313,0.009000000000000008
Bogaerts, Xander,593428,2022,557,392,0.318,0.261,0.056999999999999995,0.473,0.388,0.08499999999999996,0.373,0.324,0.04899999999999999
Santander, Anthony,623993,2022,557,396,0.254,0.262,-0.008000000000000007,0.462,0.468,-0.006000000000000005,0.345,0.354,-0.009000000000000008
Arozarena, Randy,668227,2022,555,374,0.27,0.238,0.03200000000000003,0.462,0.395,0.067,0.346,0.309,0.03699999999999998
Machado, Manny,592518,2022,555,390,0.303,0.267,0.035999999999999976,0.544,0.456,0.08800000000000002,0.388,0.343,0.044999999999999984
Happ, Ian,664023,2022,552,365,0.274,0.242,0.03200000000000003,0.456,0.387,0.069,0.347,0.312,0.034999999999999976
Arenado, Nolan,571448,2022,550,433,0.298,0.271,0.02699999999999997,0.548,0.456,0.09200000000000003,0.387,0.343,0.043999999999999984
Betts, Mookie,605141,2022,550,405,0.276,0.257,0.019000000000000017,0.556,0.474,0.08200000000000007,0.386,0.35,0.03600000000000003
Lowe, Nathaniel,663993,2022,548,384,0.304,0.286,0.018000000000000016,0.502,0.476,0.026000000000000023,0.371,0.354,0.017000000000000015
Pham, Tommy,502054,2022,540,340,0.247,0.242,0.0050000000000000044,0.391,0.394,-0.0030000000000000027,0.315,0.316,-0.0010000000000000009
Witt Jr., Bobby,677951,2022,540,391,0.247,0.253,-0.006000000000000005,0.438,0.439,-0.0010000000000000009,0.313,0.32,-0.007000000000000006
Rodgers, Brendan,663898,2022,539,402,0.267,0.262,0.0050000000000000044,0.405,0.399,0.006000000000000005,0.318,0.321,-0.0030000000000000027
Frazier, Adam,624428,2022,537,424,0.24,0.262,-0.02200000000000002,0.31,0.338,-0.028000000000000025,0.277,0.299,-0.021999999999999964
Bohm, Alec,664761,2022,534,408,0.294,0.299,-0.0050000000000000044,0.41,0.447,-0.03700000000000003,0.319,0.34,-0.02100000000000002
Castellanos, Nick,592206,2022,531,377,0.265,0.251,0.014000000000000012,0.397,0.399,-0.0020000000000000018,0.307,0.304,0.0030000000000000027
Arraez, Luis,650333,2022,530,440,0.316,0.281,0.034999999999999976,0.429,0.404,0.024999999999999967,0.354,0.331,0.022999999999999965
Devers, Rafael,646240,2022,529,388,0.29,0.279,0.010999999999999954,0.533,0.506,0.027000000000000024,0.373,0.361,0.01200000000000001
Chapman, Matt,656305,2022,528,322,0.235,0.244,-0.009000000000000008,0.451,0.459,-0.008000000000000007,0.337,0.35,-0.012999999999999956
Kwan, Steven,680757,2022,528,418,0.287,0.262,0.024999999999999967,0.374,0.329,0.044999999999999984,0.33,0.308,0.02200000000000002
Murphy, Sean,669221,2022,526,361,0.251,0.256,-0.0050000000000000044,0.439,0.454,-0.015000000000000013,0.335,0.349,-0.013999999999999957
Blackmon, Charlie,453568,2022,525,394,0.262,0.26,0.0020000000000000018,0.42,0.387,0.032999999999999974,0.317,0.308,0.009000000000000008
Altuve, Jose,514888,2022,523,379,0.287,0.265,0.021999999999999964,0.516,0.436,0.08000000000000002,0.385,0.35,0.03500000000000003
Mountcastle, Ryan,663624,2022,523,359,0.247,0.275,-0.028000000000000025,0.432,0.507,-0.07500000000000001,0.313,0.357,-0.043999999999999984
LeMahieu, DJ,518934,2022,523,384,0.262,0.274,-0.01200000000000001,0.381,0.406,-0.025000000000000022,0.331,0.345,-0.013999999999999957
Crawford, J.P.,641487,2022,522,397,0.252,0.261,-0.009000000000000008,0.348,0.342,0.00599999999999995,0.305,0.312,-0.007000000000000006
Rodríguez, Julio,677594,2022,522,340,0.273,0.248,0.025000000000000022,0.479,0.45,0.02899999999999997,0.35,0.331,0.01899999999999996
Tucker, Kyle,663656,2022,522,384,0.256,0.266,-0.010000000000000009,0.468,0.484,-0.01599999999999996,0.345,0.358,-0.013000000000000012
France, Ty,664034,2022,521,393,0.276,0.262,0.014000000000000012,0.44,0.404,0.035999999999999976,0.34,0.322,0.018000000000000016
Benintendi, Andrew,643217,2022,521,390,0.304,0.273,0.030999999999999972,0.399,0.407,-0.007999999999999952,0.342,0.334,0.008000000000000007
Adames, Willy,642715,2022,520,342,0.229,0.234,-0.0050000000000000044,0.453,0.446,0.007000000000000006,0.319,0.32,-0.0010000000000000009
Flores, Wilmer,527038,2022,519,374,0.235,0.237,-0.0020000000000000018,0.409,0.375,0.033999999999999975,0.32,0.311,0.009000000000000008
Martinez, J.D.,502110,2022,518,342,0.275,0.267,0.008000000000000007,0.43,0.469,-0.03899999999999998,0.338,0.353,-0.014999999999999958
Tellez, Rowdy,642133,2022,516,350,0.224,0.256,-0.032,0.457,0.489,-0.03199999999999997,0.329,0.355,-0.025999999999999968
Díaz, Yandy,650490,2022,514,383,0.293,0.288,0.0050000000000000044,0.422,0.423,-0.0010000000000000009,0.365,0.366,-0.0010000000000000009
Mancini, Trey,641820,2022,513,340,0.253,0.251,0.0020000000000000018,0.405,0.415,-0.009999999999999953,0.324,0.33,-0.006000000000000005
McMahon, Ryan,641857,2022,513,318,0.246,0.25,-0.0040000000000000036,0.404,0.42,-0.01599999999999996,0.324,0.333,-0.009000000000000008
Reynolds, Bryan,668804,2022,511,339,0.256,0.243,0.013000000000000012,0.445,0.395,0.04999999999999999,0.338,0.316,0.02200000000000002
McCutchen, Andrew,457705,2022,510,361,0.244,0.255,-0.01100000000000001,0.394,0.411,-0.01699999999999996,0.311,0.323,-0.01200000000000001
Straw, Myles,664702,2022,509,389,0.201,0.231,-0.03,0.249,0.295,-0.045999999999999985,0.24,0.271,-0.031000000000000028
Varsho, Daulton,662139,2022,506,342,0.243,0.223,0.01999999999999999,0.46,0.411,0.049000000000000044,0.332,0.311,0.02100000000000002
Báez, Javier,595879,2022,505,351,0.233,0.226,0.007000000000000006,0.374,0.362,0.01200000000000001,0.284,0.279,0.004999999999999949
Marte, Starling,516782,2022,505,369,0.292,0.276,0.01599999999999996,0.468,0.428,0.040000000000000036,0.355,0.336,0.01899999999999996
Hays, Austin,669720,2022,504,364,0.245,0.242,0.0030000000000000027,0.411,0.382,0.02899999999999997,0.31,0.302,0.008000000000000007
Gurriel, Yuli,493329,2022,504,406,0.242,0.237,0.0050000000000000044,0.362,0.318,0.043999999999999984,0.288,0.272,0.01599999999999996
Winker, Jesse,608385,2022,501,328,0.221,0.248,-0.026999999999999996,0.35,0.405,-0.05500000000000005,0.315,0.346,-0.030999999999999972
Torres, Gleyber,650402,2022,500,352,0.238,0.231,0.0069999999999999785,0.413,0.409,0.0040000000000000036,0.306,0.301,0.0050000000000000044
Cruz, Nelson,443558,2022,500,329,0.238,0.243,-0.0050000000000000044,0.342,0.402,-0.06,0.295,0.322,-0.027000000000000024
Correa, Carlos,621043,2022,494,338,0.28,0.275,0.0050000000000000044,0.457,0.488,-0.030999999999999972,0.355,0.365,-0.010000000000000009
Marte, Ketel,606466,2022,494,350,0.241,0.25,-0.009000000000000008,0.401,0.374,0.027000000000000024,0.316,0.315,0.0010000000000000009
Smith, Will,669257,2022,494,355,0.263,0.262,0.0010000000000000009,0.47,0.489,-0.019000000000000017,0.355,0.362,-0.007000000000000006
Kim, Ha-Seong,673490,2022,494,357,0.252,0.246,0.006000000000000005,0.377,0.359,0.018000000000000016,0.312,0.305,0.007000000000000006
McNeil, Jeff,643446,2022,493,398,0.318,0.273,0.044999999999999984,0.449,0.374,0.07500000000000001,0.356,0.311,0.044999999999999984
Gurriel Jr., Lourdes,666971,2022,493,372,0.291,0.273,0.01799999999999996,0.4,0.4,0,0.327,0.321,0.006000000000000005
Drury, Brandon,592273,2022,492,345,0.262,0.241,0.02100000000000002,0.496,0.42,0.07600000000000001,0.35,0.316,0.033999999999999975
Rizzo, Anthony,519203,2022,489,323,0.225,0.237,-0.011999999999999983,0.493,0.462,0.030999999999999972,0.357,0.352,0.0050000000000000044
Merrifield, Whit,593160,2022,489,379,0.233,0.242,-0.00899999999999998,0.336,0.358,-0.021999999999999964,0.274,0.291,-0.01699999999999996
Farmer, Kyle,571657,2022,488,364,0.266,0.263,0.0030000000000000027,0.391,0.38,0.01100000000000001,0.317,0.314,0.0030000000000000027
Springer, George,543807,2022,486,349,0.264,0.258,0.006000000000000005,0.456,0.408,0.04800000000000004,0.346,0.33,0.01599999999999996
Grisham, Trent,663757,2022,486,295,0.191,0.208,-0.016999999999999987,0.36,0.365,-0.0050000000000000044,0.293,0.304,-0.01100000000000001
Vaughn, Andrew,683734,2022,486,374,0.289,0.263,0.025999999999999968,0.454,0.418,0.03600000000000003,0.344,0.324,0.019999999999999962
Kemp, Tony,643393,2022,482,374,0.23,0.215,0.015000000000000013,0.309,0.283,0.026000000000000023,0.277,0.264,0.013000000000000012
Hayes, Ke'Bryan,663647,2022,481,327,0.242,0.244,-0.0020000000000000018,0.343,0.35,-0.006999999999999951,0.294,0.3,-0.006000000000000005
Andrus, Elvis,462101,2022,480,366,0.251,0.241,0.010000000000000009,0.404,0.346,0.05800000000000005,0.313,0.288,0.025000000000000022
Realmuto, J.T.,592663,2022,479,328,0.273,0.268,0.0050000000000000044,0.464,0.448,0.016000000000000014,0.35,0.346,0.0040000000000000036
Alvarez, Yordan,670541,2022,479,314,0.29,0.324,-0.03400000000000003,0.583,0.649,-0.06600000000000006,0.41,0.453,-0.04300000000000004
Bellinger, Cody,641355,2022,478,308,0.197,0.209,-0.011999999999999983,0.378,0.354,0.02400000000000002,0.278,0.278,0
Voit, Luke,572228,2022,477,272,0.229,0.229,0,0.413,0.452,-0.039000000000000035,0.322,0.337,-0.015000000000000013
Hoerner, Nico,663538,2022,475,392,0.287,0.272,0.014999999999999958,0.416,0.368,0.04799999999999999,0.327,0.304,0.02300000000000002
Yastrzemski, Mike,573262,2022,474,294,0.21,0.214,-0.0040000000000000036,0.372,0.372,0,0.303,0.309,-0.006000000000000005
Muncy, Max,571970,2022,473,275,0.197,0.203,-0.006000000000000005,0.391,0.411,-0.019999999999999962,0.317,0.332,-0.015000000000000013
Grichuk, Randal,545341,2022,473,332,0.271,0.233,0.038000000000000006,0.429,0.373,0.055999999999999994,0.323,0.286,0.03700000000000003
Kirk, Alejandro,672386,2022,472,365,0.298,0.284,0.014000000000000012,0.439,0.444,-0.0050000000000000044,0.36,0.358,0.0020000000000000018
Aguilar, Jesús,542583,2022,472,325,0.23,0.241,-0.010999999999999982,0.376,0.398,-0.02200000000000002,0.285,0.301,-0.016000000000000014
Peña, Jeremy,665161,2022,472,327,0.25,0.24,0.010000000000000009,0.409,0.379,0.02999999999999997,0.301,0.29,0.01100000000000001
Wisdom, Patrick,621550,2022,471,256,0.217,0.194,0.022999999999999993,0.438,0.39,0.04799999999999999,0.326,0.303,0.02300000000000002
Ozuna, Marcell,542303,2022,471,329,0.22,0.255,-0.035,0.399,0.477,-0.07799999999999996,0.29,0.336,-0.04600000000000004
Ward, Taylor,621493,2022,471,312,0.266,0.253,0.013000000000000012,0.444,0.451,-0.007000000000000006,0.349,0.349,0
Brown, Seth,664913,2022,469,307,0.231,0.255,-0.023999999999999994,0.441,0.452,-0.01100000000000001,0.317,0.334,-0.017000000000000015
Giménez, Andrés,665926,2022,468,329,0.3,0.26,0.03999999999999998,0.473,0.415,0.057999999999999996,0.367,0.333,0.033999999999999975
Espinal, Santiago,669289,2022,467,364,0.268,0.266,0.0020000000000000018,0.376,0.352,0.02400000000000002,0.308,0.301,0.007000000000000006
Turner, Justin,457759,2022,466,339,0.275,0.264,0.01100000000000001,0.434,0.423,0.01100000000000001,0.34,0.337,0.0030000000000000027
Estrada, Thairo,642731,2022,464,348,0.257,0.249,0.008000000000000007,0.398,0.357,0.041000000000000036,0.313,0.3,0.013000000000000012
Kiner-Falefa, Isiah,643396,2022,464,368,0.271,0.259,0.01200000000000001,0.336,0.33,0.006000000000000005,0.29,0.285,0.0050000000000000044
Donaldson, Josh,518626,2022,462,282,0.223,0.22,0.0030000000000000027,0.384,0.381,0.0030000000000000027,0.307,0.306,0.0010000000000000009
Contreras, Willson,575929,2022,462,299,0.246,0.254,-0.008000000000000007,0.471,0.463,0.007999999999999952,0.359,0.363,-0.0040000000000000036
Mateo, Jorge,622761,2022,459,302,0.224,0.225,-0.0010000000000000009,0.392,0.349,0.04300000000000004,0.288,0.276,0.011999999999999955
Thomas, Lane,657041,2022,458,313,0.253,0.222,0.031,0.422,0.361,0.061,0.318,0.286,0.03200000000000003
Escobar, Eduardo,500871,2022,455,316,0.235,0.243,-0.008000000000000007,0.42,0.417,0.0030000000000000027,0.303,0.309,-0.006000000000000005
Walsh, Jared,665120,2022,454,285,0.215,0.221,-0.006000000000000005,0.374,0.368,0.006000000000000005,0.278,0.28,-0.0020000000000000018
Canha, Mark,592192,2022,453,315,0.272,0.249,0.02300000000000002,0.422,0.368,0.05399999999999999,0.351,0.326,0.024999999999999967
Urshela, Gio,570482,2022,453,342,0.267,0.264,0.0030000000000000027,0.416,0.42,-0.0040000000000000036,0.316,0.319,-0.0030000000000000027
Pollock, AJ,572041,2022,452,336,0.249,0.255,-0.006000000000000005,0.39,0.412,-0.021999999999999964,0.301,0.315,-0.014000000000000012
Schoop, Jonathan,570731,2022,452,333,0.2,0.228,-0.027999999999999997,0.315,0.34,-0.025000000000000022,0.24,0.267,-0.027000000000000024
Acuña Jr., Ronald,660670,2022,452,289,0.27,0.273,-0.0030000000000000027,0.405,0.487,-0.08199999999999996,0.337,0.37,-0.032999999999999974
Joe, Connor,656582,2022,451,298,0.242,0.244,-0.0020000000000000018,0.357,0.343,0.013999999999999957,0.316,0.315,0.0010000000000000009
Iglesias, José,578428,2022,451,372,0.3,0.269,0.030999999999999972,0.392,0.326,0.066,0.321,0.284,0.03700000000000003
Lopez, Nicky,670032,2022,450,357,0.238,0.249,-0.01100000000000001,0.287,0.319,-0.03200000000000003,0.262,0.28,-0.018000000000000016
Dozier, Hunter,641531,2022,449,306,0.237,0.243,-0.006000000000000005,0.382,0.387,-0.0050000000000000044,0.297,0.303,-0.006000000000000005
Kepler, Max,596146,2022,445,326,0.227,0.267,-0.04000000000000001,0.349,0.413,-0.064,0.299,0.34,-0.041000000000000036
Hernández, Teoscar,606192,2022,445,283,0.263,0.255,0.008000000000000007,0.476,0.471,0.0050000000000000044,0.342,0.337,0.0050000000000000044
